indicatorId,geoUnit,year,value,qualifier,magnitude
MENF.5T8,ABW,2003,-57,UIS_EST,
MENF.5T8,ABW,2005,-117,UIS_EST,
MENF.5T8,ABW,2006,-19,UIS_EST,
MENF.5T8,ABW,2009,-152,UIS_EST,
MENF.5T8,ABW,2010,-444,UIS_EST,
MENF.5T8,ABW,2011,-125,UIS_EST,
MENF.5T8,ABW,2012,-182,UIS_EST,
MENF.5T8,ABW,2013,40,UIS_EST,
MENF.5T8,ABW,2014,55,UIS_EST,
MENF.5T8,ABW,2015,99,UIS_EST,
MENF.5T8,ABW,2016,89,,
MENF.5T8,AFG,2009,-5527,UIS_EST,
MENF.5T8,AFG,2014,-19636,UIS_EST,
MENF.5T8,AFG,2020,-33310,,
MENF.5T8,AIA,2001,-30,UIS_EST,
MENF.5T8,AIA,2002,-51,UIS_EST,
MENF.5T8,AIA,2003,-60,UIS_EST,
MENF.5T8,AIA,2004,-94,UIS_EST,
MENF.5T8,AIA,2006,-25,UIS_EST,
MENF.5T8,AIA,2007,-68,UIS_EST,
MENF.5T8,AIA,2008,-151,UIS_EST,
MENF.5T8,ALB,2000,-5214,UIS_EST,
MENF.5T8,ALB,2001,-6723,UIS_EST,
MENF.5T8,ALB,2003,-10823,UIS_EST,
MENF.5T8,ALB,2004,-12980,UIS_EST,
MENF.5T8,ALB,2011,-23832,UIS_EST,
MENF.5T8,ALB,2012,-22294,UIS_EST,
MENF.5T8,ALB,2018,-16791,,
MENF.5T8,ALB,2019,-8850,UIS_EST,
MENF.5T8,ALB,2020,-9514,,
MENF.5T8,ALB,2021,-12104,UIS_EST,
MENF.5T8,ALB,2022,-12947,UIS_EST,
MENF.5T8,AND,2002,-697,UIS_EST,
MENF.5T8,AND,2003,-875,UIS_EST,
MENF.5T8,AND,2009,-1233,UIS_EST,
MENF.5T8,AND,2013,-1035,UIS_EST,
MENF.5T8,AND,2015,-1142,UIS_EST,
MENF.5T8,AND,2016,-1177,,
MENF.5T8,AND,2017,-1274,,
MENF.5T8,AND,2018,-1263,,
MENF.5T8,AND,2019,-1238,UIS_EST,
MENF.5T8,AND,2020,-1329,,
MENF.5T8,AND,2021,-1383,UIS_EST,
MENF.5T8,AND,2022,-1427,UIS_EST,
MENF.5T8,ARE,2011,40386,UIS_EST,
MENF.5T8,ARE,2012,45772,UIS_EST,
MENF.5T8,ARE,2013,50517,UIS_EST,
MENF.5T8,ARE,2014,54691,UIS_EST,
MENF.5T8,ARE,2015,62549,,
MENF.5T8,ARE,2016,65743,,
MENF.5T8,ARE,2019,211987,UIS_EST,
MENF.5T8,ARE,2020,201262,,
MENF.5T8,ARG,2000,-3685,UIS_EST,
MENF.5T8,ARG,2016,68092,,
MENF.5T8,ARG,2017,80450,,
MENF.5T8,ARG,2018,100690.25,,
MENF.5T8,ARG,2019,107146,UIS_EST,
MENF.5T8,ARG,2020,111594,,
MENF.5T8,ARG,2021,107680,UIS_EST,
MENF.5T8,ARG,2022,125416,UIS_EST,
MENF.5T8,ARM,2002,-148,UIS_EST,
MENF.5T8,ARM,2003,-1089,UIS_EST,
MENF.5T8,ARM,2004,436,UIS_EST,
MENF.5T8,ARM,2005,722,UIS_EST,
MENF.5T8,ARM,2006,803,UIS_EST,
MENF.5T8,ARM,2007,759,UIS_EST,
MENF.5T8,ARM,2008,-776,UIS_EST,
MENF.5T8,ARM,2009,-593,UIS_EST,
MENF.5T8,ARM,2010,-2367,UIS_EST,
MENF.5T8,ARM,2011,-2795,UIS_EST,
MENF.5T8,ARM,2012,-2953,UIS_EST,
MENF.5T8,ARM,2013,-3672,UIS_EST,
MENF.5T8,ARM,2014,-3028,UIS_EST,
MENF.5T8,ARM,2015,-3140,,
MENF.5T8,ARM,2016,-3425,,
MENF.5T8,ARM,2017,-1379,,
MENF.5T8,ARM,2018,-1965,,
MENF.5T8,ARM,2019,-1361,UIS_EST,
MENF.5T8,ARM,2020,243,,
MENF.5T8,ARM,2021,628,UIS_EST,
MENF.5T8,ARM,2022,1447,UIS_EST,
MENF.5T8,ATG,2009,-606,UIS_EST,
MENF.5T8,ATG,2010,-485,UIS_EST,
MENF.5T8,ATG,2011,-539,UIS_EST,
MENF.5T8,ATG,2012,-375,UIS_EST,
MENF.5T8,AUS,2000,100060,UIS_EST,
MENF.5T8,AUS,2001,115105,UIS_EST,
MENF.5T8,AUS,2002,173520,UIS_EST,
MENF.5T8,AUS,2003,181660,UIS_EST,
MENF.5T8,AUS,2004,157831,UIS_EST,
MENF.5T8,AUS,2005,167373,UIS_EST,
MENF.5T8,AUS,2006,174800,UIS_EST,
MENF.5T8,AUS,2007,201022,UIS_EST,
MENF.5T8,AUS,2008,220651,UIS_EST,
MENF.5T8,AUS,2009,247229,UIS_EST,
MENF.5T8,AUS,2010,260421,UIS_EST,
MENF.5T8,AUS,2011,251811,UIS_EST,
MENF.5T8,AUS,2012,238248,UIS_EST,
MENF.5T8,AUS,2013,237672,UIS_EST,
MENF.5T8,AUS,2014,253371,UIS_EST,
MENF.5T8,AUS,2015,281891,,
MENF.5T8,AUS,2016,322156,,
MENF.5T8,AUS,2017,367034,,
MENF.5T8,AUS,2018,430464,,
